Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Afghanistan,Male,46.9,46.93113
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Afghanistan,Male,10.2,10.22541
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Afghanistan,Female,10.1,10.11293
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Afghanistan,Female,50.7,50.74652
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Afghanistan,Both,10.2,10.16798
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Afghanistan,Both,51.1,51.13087
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Angola,Male,9.7,9.66284
Healthy life expectancy (HALE) at birth (years),2010,Africa,Angola,Male,49.3,49.27284
Healthy life expectancy (HALE) at birth (years),2010,Africa,Angola,Female,52.0,51.97081
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Angola,Female,12.9,12.94383
Healthy life expectancy (HALE) at birth (years),2010,Africa,Angola,Both,50.6,50.5654
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Angola,Both,11.9,11.90608
Healthy life expectancy (HALE) at birth (years),2010,Europe,Albania,Male,66.3,66.33651
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Albania,Male,15.7,15.67845
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Albania,Female,17.7,17.71132
Healthy life expectancy (HALE) at birth (years),2015,Europe,Albania,Female,70.1,70.12115
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Albania,Both,16.7,16.70629
Healthy life expectancy (HALE) at birth (years),2015,Europe,Albania,Both,69.0,69.02539
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,United Arab Emirates,Male,13.9,13.85226
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,United Arab Emirates,Male,65.3,65.26273
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,United Arab Emirates,Male,13.7,13.73477
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,United Arab Emirates,Female,65.7,65.71811
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,United Arab Emirates,Female,14.9,14.92032
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,United Arab Emirates,Both,65.4,65.44885
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,United Arab Emirates,Both,14.1,14.08675
Healthy life expectancy (HALE) at birth (years),2015,Americas,Argentina,Male,64.9,64.94321
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Argentina,Male,14.7,14.65216
Healthy life expectancy (HALE) at birth (years),2019,Americas,Argentina,Male,65.4,65.40311
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Argentina,Female,17.6,17.63098
Healthy life expectancy (HALE) at birth (years),2019,Americas,Argentina,Female,68.8,68.76596
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Argentina,Both,16.2,16.2391
Healthy life expectancy (HALE) at birth (years),2019,Americas,Argentina,Both,67.1,67.12776
Healthy life expectancy (HALE) at birth (years),2019,Europe,Armenia,Male,64.9,64.8828
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Armenia,Male,14.2,14.24673
Healthy life expectancy (HALE) at birth (years),2019,Europe,Armenia,Female,69.1,69.10166
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Armenia,Female,16.9,16.91868
Healthy life expectancy (HALE) at birth (years),2019,Europe,Armenia,Both,67.1,67.11749
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Armenia,Both,15.7,15.72817
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Antigua and Barbuda,Male,15.3,15.27109
Healthy life expectancy (HALE) at birth (years),2000,Americas,Antigua and Barbuda,Female,67.0,67.04361
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Antigua and Barbuda,Female,16.3,16.34362
Healthy life expectancy (HALE) at birth (years),2000,Americas,Antigua and Barbuda,Both,65.5,65.53024
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Antigua and Barbuda,Both,15.8,15.82564
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Australia,Male,67.2,67.16424
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Australia,Female,70.0,69.97304
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Australia,Female,18.4,18.44876
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Australia,Both,68.6,68.57265
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Australia,Both,17.3,17.307
Healthy life expectancy (HALE) at birth (years),2000,Europe,Austria,Male,66.3,66.34692
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Austria,Male,15.1,15.10154
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Austria,Female,18.0,18.02673
Healthy life expectancy (HALE) at birth (years),2010,Europe,Austria,Female,71.4,71.4039
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Austria,Both,16.7,16.73284
Healthy life expectancy (HALE) at birth (years),2010,Europe,Austria,Both,69.9,69.9159
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Azerbaijan,Male,12.1,12.08624
Healthy life expectancy (HALE) at birth (years),2010,Europe,Azerbaijan,Male,60.1,60.06379
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Azerbaijan,Male,12.0,11.96388
Healthy life expectancy (HALE) at birth (years),2010,Europe,Azerbaijan,Female,63.4,63.40581
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Azerbaijan,Female,13.7,13.70208
Healthy life expectancy (HALE) at birth (years),2010,Europe,Azerbaijan,Both,61.7,61.70727
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Azerbaijan,Both,12.9,12.87587
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Burundi,Male,11.0,11.03197
Healthy life expectancy (HALE) at birth (years),2015,Africa,Burundi,Male,52.4,52.37158
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Burundi,Female,12.8,12.83018
Healthy life expectancy (HALE) at birth (years),2015,Africa,Burundi,Female,55.6,55.55806
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Burundi,Both,12.0,11.98482
